ID,Frase,"Valor
Real","Evento
Adverso"
2742, graças a deus eu paro de tomar esse veneno que é o azitromicina já não aguento trabalhar com essa dor de estômago .,tem,tem
4088, o bom da azitromicina é que além de ser bom pra doença é maravilhoso pra pele e faz efeito bem rápido .,não tem,tem
4527, pérolas da dra p azitromicina foi muito usada pra dor de piolho oi .,não tem,tem
5316, só qiem sofre mensalmente de inchaço nas amidalas sabe o poder de uma azitromicina e como é importante ter umas 2 caixas em casa sempre kkkk .,não tem,tem
5952, tomar azitromicina é o msm que dar um tiro no estômago pqp q dor do crlh .,tem,tem
2212, eu saio da ansiedade mais a ansiedade gosta de bromazepam .,não tem,tem
2897, indo dormir com dor de cabeça pra variar vivendo nesse hospício só com uma dose de bromazepam p acalmar .,não tem,tem
5973, tomava o paroxetina pra ansiedade e depressão bromazepam era pra insônia e sintomas depressivos .,não tem,tem
949, bromoprida o médico disse q seria preciso contra enjôo e náuseas assim seguimos acompanhando à sessão .,não tem,tem
950, bromoprida para mal estar e neosaldina pra dor ce cabeça mas sua dor de cabeça deve ser consequência do mal estar .,não tem,tem
4988, recklessbutfab é só bromoprida eu fiquei com tontura e dor de cabeça enquanto dormia e aí sonhei louco .,tem,tem
6440, você faz tratamento pra ansiedade e depressão toma sim venlafaxina 375 mg e bupropiona 150 mg http curiouscat me nightsofwonders post 30297274 .,não tem,tem
162, a gente volta p tt quando n tem mais opção do que fazer e a essa hora da madrugada e com tanta cafeína na cabeça a agitação vem a tona .,tem,tem
373, acordei de ressaca e sono fui pra aula tomei remédio pra dor de cabeça que tem cafeína chego em casa doida pra dormir mas não consigo .,tem,tem
993, cafeína é maravilhoso pra dor de cabeça ou toma um chá preto analgésico energético slá .,tem,tem
999, cafeína melhora dor de cabeça tem até um tylenol só pra dor de cabeça que é com cafeína .,tem,tem
1001, cafeína não é legal pra ansiedade .,tem,tem
1713, é pq eu tenho muito desses tremores causados pela ansiedade sabe aí a cafeína piora mais ainda junto com os outros sintomas .,tem,tem
2137, eu louca querendo dormir por causa da dor e minha mãe me dá um remédio que tira a dor mas contém cafeína q tira o sono .,tem,tem
2255, eu tava com dor de cabeça tomei remédio tem cafeína agora que não durmo mesmo .,tem,tem
2346, eu to paralisada de dor e todo remédio pra dor de cabeça tem cafeína por isso não entendi .,tem,tem
2369, eu tomei relaxante muscular e intiinflamatorio pra dor nas costas e 2 pílulas de cafeína eu estou morrendo de sono .,tem,tem
2645, gente acabei de ler aqui que cafeína não faz bem no calor pelo mal que tô passando a informação procede staysafe belohorizonte60graus .,tem,tem
2848, houve alguma coisa dongsaeng eu tô bem só com dor de cabeça por falta de cafeína .,tem,tem
2851, i cant believveeee tomei um remédio pra dor de cabeça e esqueci que tem cafeína nele agkra que eu só consigo dormir amanhã mesmo .,tem,tem
3137, legar que exagero de cafeína pode te fuder com dor de cabeça enjoou insonia e como ela mexe com os batimentos cardíacos pode dar ritmia .,tem,tem
3557, minha dores de cabeças são sempre tensionais por causa da minha ansiedade mas sinto que a cafeína fez aumentar .,tem,tem
3673, muita cafeína pra aguentar esses dias com o calor não durmo direito e no trabalho caio no sono .,tem,tem
3712, n tomei café hj ainda to morrendo de dor de cabeça preciso de cafeína socorro .,tem,tem
3803, não posso dormir demais pq da aquela dor de cabeça de abstinência de cafeína .,tem,tem
3808, não queria tomar café agora mas eu infelizmente estou com uma dor de cabeça que grita cafeína que que eu faço .,tem,tem
3823, não sei quem culpar pela enxaqueca de hoje o cabelo a vista ou a falta da cafeína .,tem,tem
3914, nesse calor é impossível não suar imagina com 420g de cafeína no sangue kkk .,tem,tem
4022, nossa eu tive q fazer café pq tava com dor cabeça pela falta de cafeína .,tem,tem
4137, o foda de eu tomar meu remédio de dor de cabeça é que é cafeína pura e me deixa sem nenhum sono .,tem,tem
4139, o foda é eu estar com dor de cabeça e não poder tomar remédio porque o remédio tem cafeína e eu tenho labirintite .,tem,tem
4202, o q será q acontece se eu tomar remédio p dor de cabeça c cafeína e calmante .,tem,tem
4824, quase todos os remédios p dor de cabeça têm cafeína eu amo cafeína mas não num remédio que supostamente era pra te deixar calma e sem dor .,tem,tem
4827, quatro dias sem cafeína e quatro dias chorando com uma enxaqueca the moniaca serasse que estou viciada .,tem,tem
4923, quer dizer toma cafeína é bom pra dor .,tem,tem
4942, queria matcha café quente nesse calor não dá e gelado perde cafeína né .,tem,tem
5138, se não fosse a cafeína eu estaria em coma agora .,tem,tem
5419, tá osso trabalhar com esse calor cadê as pílulas de cafeína quand a gente precisa delas .,tem,tem
5617, tinha planos de entrar em coma hoje mas se eu dormir agora acordo umas 4h da manhã parecendo que tomei cafeína na veia .,tem,tem
5831, to tomando remédio pra dor muscular e apesar de ter cafeína me deixou o dia todo com sono .,tem,tem
6147, tomei uns dois remédios pra dor antes agora tomei um pra enxaqueca que contém cafeína quero ver se nao passa essa dor .,tem,tem
6402, vest me trouxe coisas incriveis como insônia vicio em cafeína enxaqueca .,tem,tem
6405, viciados em cafeína sofrem no calor .,tem,tem
6406, vício de cafeína é fogo passei a manhã com dor de cabeça e só agora me toquei que não tomei um gole de café ainda .,tem,tem
662, amora é rico em cálcio amor é rico em calor https www instagram com p 18q9dtko pic twitter com k6zw84nsfy .,não tem,tem
1408, desde q sou pequena minha mãe reclama d uma dor na perna e todos os médicos sempre falavam q era falta de cálcio .,tem,tem
2231, eu sofro de toc depressão anemia problemas respiratórios falta de vitaminas falta de cálcio íos problema nos ovários e vcs .,não tem,tem
3805, não poxa que pena bom pra dor assim é omeprazol a. não precisa de beber litros de leite para ir buscar o cálcio de que necessita coma mais legumes de folha verde http fb me 4hhkpyf0x .,não tem,tem
6017, tomei captopril achando que era pra dor mais er pra pressão agr to começando ver tudo roda mane .,tem,tem
6531, vou tomar meu captopril para não enfartar de tanta raiva hoje jogam de titulares wellington cesar e leandrinho .,não tem,tem
3165, levanta a mão quem tomou 10 comprimidos de tramal 4 de dipirona 2 de lyrica 1 carbamazepina e ainda está com dor o. levantei rápido e com a dor intensa deu vertigem acho que foi isso ou pode ser por conta da baixa de glicose tbm sei lá .,tem,tem
2088, eu deveria tomar o remédio pra dor só de manhã mas como n to conseguindo dormir vou tomar agr mesmo q dormir chapada de carisoprodol .,tem,tem
2332, eu to deitada queimando de febre mt dor na garganta se alguém tiver amoxilina ou cefalexina pfvr falem cmg .,não tem,tem
3581, minha mãe comprou cefalexina p eu tomar só de olhar p caixa me dá dor de estômago .,não tem,tem
4822, quase morri de tanta febre sequei um frasco de dipirona duas cartelas de cefalexina e minha mãe ainda queria q eu fosse p hospital sozinha .,não tem,tem
1720, e pra quando vc tiver com a alergia muito arregaçada vc pode tomar beclometasona ou fluticasona betametasona dexametasona .,não tem,tem
441, ah é bom saber quando tomei dipirona eu fiquei em coma só .,tem,tem
476, ai fudeu ai eu vou ficar poha suavekkkkkkkkkkk haja dipirona pra essas dor de cabeça jesus .,não tem,tem
538, além de sofrer pela cólica tenho q sofrer tomando dipirona líquid .,não tem,tem
745, aquela dipirona pra acabar com a cólica bem lets go .,não tem,tem
1484, dipirona é mais pra cólica dor de cabeça .,não tem,tem
1496, dipirona sódica pra cefaleia e vodka pro espirito ia29 .,não tem,tem
1670, e eu vou sextar com mt dor de cabeça deitada na minha cama tomando dipirona mas querendo um neosaldina https twitter com lordevoidemort status 814891448910876672 .,não tem,tem
1791, ela tava doente dipirona entrou na mente dor de cebeça bebe .,tem,tem
1897, esqueço que tenho alergia a dipirona tomei remédio pra dor ontem e agora meus olhos estão inchados .,tem,tem
2011, estou morrendo de dor d cabeça mas não posso toma dipirona pq tenho alergia e aq em casa não tem nenhum outro comprimido p dor .,tem,tem
2095, eu estava com um cólica tão insuportável que eu tomei 4 comprimidos de dipirona e 1 colher de dipirona líquida dormi que é uma beleza .,tem,tem
2130, eu ja to morrendo de alergia ai eu tomei um remedio pra parar alergia q tem dipirona na qual tenho alergia poise .,tem,tem
2154, eu não consigo dormir com a dor no dente tomei dipirona apareceu uma cólica .,tem,tem
2219, eu sempre fico em dúvida entre morrer de dor e tomar dipirona .,não tem,tem
2502, fingi que tava com dor de cabeça pra não sair de casa meu pai me obrigou tomar dipirona .,não tem,tem
2608, fui no shopping hoje voltei morrendo de cólica e tive que tomar dipirona mpn felipecastanhari .,não tem,tem
2741, graças a deus dipirona fazendo milagres nessa febre agr é tomar esse banho pois fedendo a doente e esperar mae chegar com meu benegripe .,não tem,tem
3028, já tomei três comprimidos pra cólica e nada agora vou tomar 70 gotas de dipirona e vou dormir até amanhã kkkk se http fb me 573bmxk9m .,tem,tem
3045, jeff pense quantos wolfies entrarão em depressão e cometerão suicídio tomando 50 compridos de dipirona reflita teenwolfseason7please .,tem,tem
3135, legal msm é não conseguir dormir pq tá com cólica e por falta de remédio tomar dipirona pra ver se passa dor infernal .,tem,tem
3290, mano tomei um remédio pra febre pensando que era paracetamol porém minha alergia a dipirona está atacando olhos estão enviando .,tem,tem
3740, nada tô c a garganta inflamada e febre p piorar tenho alergia a dipirona .,tem,tem
3844, não tem remédio pra cólica tive que tomar dipirona e dramin pq dipirona da uns negócio no estômago .,tem,tem
3856, não to sabendo lidar cm esse calor ainda tomei dipirona to suando igual uma mula .,tem,tem
3898, nem dipirona tá fazendo efeito pra essa cólica do inferno .,não tem,tem
4482, passei o dia todo com essa cólica tive que toma duas dipirona agora .,não tem,tem
4647, pqp to queimando em febre e não sei cadê a caralha da dipirona .,não tem,tem
4782, qual o analgésico que ri da sua dor e desgraça r dipirona sádica 500 mg diadofarmacêutico via diego gresso .,não tem,tem
4813, quando você reclama de dor de cabeça e a pessoa vem com tem dipirona aqui em casa tá mas e aí vai vir trazer pra mim .,não tem,tem
4914, quem toma dipirona quando ta morrendo de cólica eu claro kakakaka vai adiantar nada .,tem,tem
5219, será que dipirona também é pra cólica num aguento maaaaaas .,não tem,tem
5374, sou igual dipirona ou vc me engole ou ficar com dor .,não tem,tem
5955, tomar dipirona ou ficar com dor eis a dúvida .,não tem,tem
5997, tomei 3 paracetamol e dipirona que me deixou em coma até agora kk .,tem,tem
6004, tomei 50 gotas de dipirona p essa merda de cólica passar e agr to morrendo de sono e não posso dormir .,tem,tem
6024, tomei dipirona e agora estou ficando com calor .,tem,tem
6036, tomei do dipirona daqui a pouco começo a passar mal de tanto calor .,tem,tem
6142, tomei uma dipirona não tô aguento de tanta cólica .,não tem,tem
6349, vai passar sim passei 2 meses sofrendo de dor dente por causa do meu siso dipirona vai aliviar sua dor .,não tem,tem
22, 2 5 km de caminhada hoje como estamos com menos raiva bendita dopamina .,não tem,tem
639, amarelito já pensou em tomar dopamina pra controlar um pouco a depressão https twitter com amarelito status 721027427909152768 .,não tem,tem
1529, dopamina sendo liberada pela dor do treino .,não tem,tem
2587, fui correr não só liberei dopamina serotonina como liberei suor mt suor .,não tem,tem
3439, meu cérebro ta com dependência de dopamina vamo trabalhar isso aí .,não tem,tem
3850, não tô acreditando em toda essa confusão por causa de um trocadilho com dopamina to rindo demais .,não tem,tem
4676, pra quem tava esses dias com o cérebro nadando em dopamina e com ansiedade logo insônia é assustador mesmo .,não tem,tem
5486, tava tentando passar um dia todo sem tomar café e sem reclamar da mãe tomando efedrina e ficar reclamando de dor mas não tenho mais forças .,não tem,tem
1920, essa epinefrina tá me deixando numa raiva mas fico mais ativo plmns .,tem,tem
4938, queria fazer nada amanhã só morrer com minha cólica e meu butilbrometo de escopolamina .,não tem,tem
1428, deus já sabe o frio que tô passando por causa da febre e do meu desejo de passar ferro quente na cara de vcs parem de me mandar foto do sul .,não tem,tem
513, aime garotona de 2 anos e 8 meses dependente de fluoxetina desde os 6 meses de idade por sofrer de ansiedade http fb me 2ebadix2y .,tem,tem
1103, chapar de sibutramina e fluoxetina p entrar em coma seria uma boa .,tem,tem
1672, é fluoxetina 1 comprido ao dia pra ansiedade .,não tem,tem
1715, e pra ansiedade fluoxetina não tá mais me ajudando e eu tomo doses cavalares dele .,tem,tem
1998, estou a entrar em depressão por causa de farmacologia preciso de fluoxetina .,tem,tem
2167, eu não tenho fluoxetina o bastante pra lidar com essa ansiedade de esperar coisa por correio .,não tem,tem
2391, eu tono fluoxetina não pra dormir pra ansiedade mas me ajuda a dormir .,tem,tem
2533, fluoxetina é lindo pra isso kkkkk tomei durante um tempo pela ansiedade .,não tem,tem
2534, fluoxetina é muito usado para depressão síndrome do pânico na verdade é o prozac .,tem,tem
2535, fluoxetina é só pra ansiedade não dá sono lexotan da sono mas passa no médico antes .,tem,tem
2536, fluoxetina emagrece pq deve sair td q tu come pelo suor satã me ajuda .,tem,tem
2539, fluoxetina n funciona porra nenhuma só te deixa com mais dor .,tem,tem
2546, fluoxetina usada em remédios p emagrecer alguns anti depressivos a maioria dos remédios para ansiedade https twitter com eudanborges status 759492732582756353 .,não tem,tem
2968, já que eu falei sobre depressão esta música às vezes funciona melhor do que fluoxetina https youtu be d8z vn67sru http fb me 7udn9qbut .,não tem,tem
3218, lucksnake aee eu tomo oxalato pra ansiedade quando ataca forte e nitrazepam pra quando n consigo dormir fazer o q né fluoxetina larguei .,não tem,tem
3297, marciasensitiva me ajude minha filha usa fluoxetina tem pânico toc ansiedade samara pereira silva 29 02 2004 prematura 6mês oq posso fazer .,não tem,tem
3403, menina eu sou a loka q come sem fome apenas por ansiedade ando tomando fluoxetina consegui a receita indo no médico .,não tem,tem
3601, minha mae ta morrendo de medo de eu entrar em depressão mas nao deixa eu continuar tomando fluoxetina .,não tem,tem
3605, minha mãe toma diazepam pra ansiedade minha vó toma fluoxetina pra depressão e ate tem o meu cachorro que é nervoso e toma gardenal .,não tem,tem
4140, o garçom no final de rodízio entra em depressão pensa no suicídio vai na cozinha tomar fluoxetina .,não tem,tem
4148, o massa de estar com dor no estômago é que eu não posso de jeito nenhum tomar fluoxetina hoje que sacoooooooooououou .,tem,tem
5074, saudades de quando eu tinha bads antes da depressão e o fluoxetina entrar na minha vida .,não tem,tem
5319, só quem sofre de ansiedade sabe o quanto aquela sensação de borboletas no estomago é a pior coisa do mundo não tem fluoxetina que ajude .,não tem,tem
5489, tbm tenho esse fator porém pela depressão eu tomo fluoxetina durante o dia e clonazepan pra dormir n sempre só nas crise msm .,tem,tem
5603, thaygarbone amg eu tomo por conta de ansiedade aí tem receita médica mas rivotril e fluoxetina são bons .,não tem,tem
5947, tomando remédio por causa do pânico e impressionada com a mágica q é essa fluoxetina até a cólica e a tpm diminuiu .,não tem,tem
6547, vou tomar umas fluoxetina porque tô entrando em depressão aqui .,não tem,tem
8, 100or glicose 289 pqp deve ser por isso o edema nos pés e tonturas constantes .,tem,tem
9, 11 5 20 24 marcely vai todo mundo entrar em coma a alcoólico sexta haha 11 5 20 25 marcely aqui não tem glicose nao alguem me segura .,não tem,tem
35, 23 anos término da faculdade sofrendo de ansiedade e com a pressão e a glicose alta prazer rodrigo pereira .,não tem,tem
67, 583 eu sinto tontura quando estou com sono pressão baixa glicose baixa ou glicose alta .,tem,tem
209, a produção dr glicose leva à morte geraldo 2016 .,tem,tem
248, a zoe faz muita glicose anal já to ficando com raiva já .,não tem,não tem
295, achei q no domingo iria entrar em coma alcoolico mas babou só de raiva amanhã vou me dopar de glicose .,não tem,tem
330, acho que tem a ver com o negócio que minha glicose abaixa muito fico com dor de cabeça e muito sono .,tem,tem
410, aeliminacao já deram glicose pra ela ela tá em coma alcoolico .,não tem,tem
634, amanhã só paro de beber depois que entrar em coma alcoolico e tiver que tomar glicose na veia .,não tem,tem
679, ando bebendo muito suco nesse calor porém voltarei para a aguinha básica porque minha glicose tá alta frutose me derrubando diabetes .,não tem,tem
866, bebi tantas coisas hj e acho q tem vodka aqui se eu bao vomitar tem grande chance de eu yomar glicose ou eu entrar em coma alccolico .,não tem,tem
1045, cara sábado minha meta é entrar em coma alcoólico ou tomar mt glicose na veia .,não tem,tem
1108, chegar em casa e encontrar mamãe com febre dor no corpo glicose alta corta meu coração em um nível que meu deus .,não tem,tem
1149, coca cola tem gosto de morte com superdosagem de glicose e xarope .,não tem,tem
1214, começo do mês que vem eu vou numa dessas lojas de doce comprar bastante glicose pra botar no sangue e não entrar em coma alcoólico .,não tem,tem
1224, comi tanto chocolate q vou entrar em coma de glicose .,não tem,tem
1286, crazyandweak é miga é da festa pro coma os famigerado 40 min de glicose ne non .,não tem,tem
1312, da uma raiva de conversar com as pessoas e elas vem com glicose anal e drama vai procurar um psicólogo e depois fala comigo .,não tem,não tem
1437, deveria estar dormindo mas eu estou com sono e eufórico ao mesmo tempo uma leve crise de ansiedade que fez minha glicose subir .,não tem,tem
1600, drawmuky caioscholze ninguém em coma em qqqq leva a glicose junto cgiyoftidcupgc .,não tem,tem
1759, edsonjr2301 fui parar no hospital e a enfermeira aplicou glicose na veia pensando q eu tava em coma alcolico .,não tem,tem
1813, em busca de métodos de colocar a maior quantidade possível de glicose no sangue tenta sobrevive a uma cólica sem remédio aqui em casa tá ó .,não tem,tem
1950, esse ano bebi algumas 10 vezes por motivos de glicose fácil no rolê ou calor infernal foi um ano intenso e velho a vontade voltou absurdo .,não tem,tem
1986, estão me entupindo de glicose agorinha entro em coma diabético .,tem,tem
2001, estou às vésperas de fazer o maldito exame de glicose estou com raiva .,não tem,tem
2081, eu costumo ficar com dor de cabeça mas até que sai do cinema deboas acho que tava bem alimentado e cheio de glicose no corpo .,não tem,tem
2486, ficar estudando sobre a glicose galactose já da dor de barriga .,não tem,tem
2705, glicose alta morrendo de dor de cabeça .,tem,tem
2707, glicose da minha mãe é muito 8 ou 80 tncc uma hora quase ela entra em coma outra quase dando hipoglicemia .,tem,tem
2708, glicose e pressão alta pelo menos não é o coração a dor no peito ufa .,tem,tem
2799, hj eu vo mete o famigerado só volto pra casa em coma tomando glicose na veia se a deusa quiser .,tem,tem
3177, liguei pra minha mãe pra falar que tava morrendo de tontura e agora a linda quer medir minha glicose .,não tem,tem
